hh_id,person_num,age,gender,pemploy,pstudent,type,value_of_time,person_id,activity_pattern,imf_choice,inmf_choice
29,0,36,m,1,3,Full-time worker,8.48125,57,M,1,0
29,1,37,m,2,3,Part-time worker,8.48125,58,N,0,1
30,0,36,m,1,3,Full-time worker,8.48125,59,M,1,0
30,1,37,m,2,3,Part-time worker,8.48125,60,N,0,1
31,0,36,m,1,3,Full-time worker,14.855528846153845,61,M,1,0
31,1,37,m,2,3,Part-time worker,14.855528846153845,62,N,0,1
32,0,36,m,1,3,Full-time worker,14.855528846153845,63,M,1,0
32,1,37,m,2,3,Part-time worker,14.855528846153845,64,N,0,1
33,0,36,m,1,3,Full-time worker,14.855528846153845,65,M,1,0
33,1,37,m,2,3,Part-time worker,14.855528846153845,66,N,0,1
34,0,36,m,1,3,Full-time worker,14.855528846153845,67,M,1,0
34,1,37,m,2,3,Part-time worker,14.855528846153845,68,N,0,1
35,0,36,m,1,3,Full-time worker,14.855528846153845,69,M,1,0
35,1,37,m,2,3,Part-time worker,14.855528846153845,70,N,0,1
36,0,36,m,1,3,Full-time worker,29.52403846153846,71,M,1,0
36,1,37,m,2,3,Part-time worker,29.52403846153846,72,N,0,1
37,0,36,m,1,3,Full-time worker,29.52403846153846,73,M,1,0
37,1,37,m,2,3,Part-time worker,29.52403846153846,74,N,0,1
38,0,36,m,1,3,Full-time worker,29.52403846153846,75,M,1,0
38,1,37,m,2,3,Part-time worker,29.52403846153846,76,N,0,1
39,0,36,m,1,3,Full-time worker,29.52403846153846,77,M,1,0
39,1,37,m,2,3,Part-time worker,29.52403846153846,78,N,0,1
40,0,36,m,1,3,Full-time worker,29.52403846153846,79,M,1,0
40,1,37,m,2,3,Part-time worker,29.52403846153846,80,N,0,1
41,0,36,m,1,3,Full-time worker,3.095673076923077,81,M,1,0
41,1,37,m,2,3,Part-time worker,3.095673076923077,82,N,0,1
42,0,36,m,1,3,Full-time worker,3.095673076923077,83,M,1,0
42,1,37,m,2,3,Part-time worker,3.095673076923077,84,N,0,1
43,0,36,m,1,3,Full-time worker,3.095673076923077,85,M,1,0
43,1,37,m,2,3,Part-time worker,3.095673076923077,86,N,0,1
44,0,36,m,1,3,Full-time worker,3.095673076923077,87,M,1,0
44,1,37,m,2,3,Part-time worker,3.095673076923077,88,N,0,1
45,0,36,m,1,3,Full-time worker,3.095673076923077,89,M,1,0
45,1,37,m,2,3,Part-time worker,3.095673076923077,90,N,0,1
46,0,36,m,1,3,Full-time worker,8.48125,91,M,1,0
46,1,37,m,2,3,Part-time worker,8.48125,92,N,0,1
47,0,36,m,1,3,Full-time worker,8.48125,93,M,1,0
47,1,37,m,2,3,Part-time worker,8.48125,94,N,0,1
48,0,36,m,1,3,Full-time worker,8.48125,95,M,1,0
48,1,37,m,2,3,Part-time worker,8.48125,96,N,0,1
49,0,36,m,1,3,Full-time worker,8.48125,97,M,1,0
49,1,37,m,2,3,Part-time worker,8.48125,98,N,0,1
50,0,36,m,1,3,Full-time worker,8.48125,99,M,1,0
50,1,37,m,2,3,Part-time worker,8.48125,100,N,0,1
51,0,36,m,1,3,Full-time worker,14.855528846153845,101,M,1,0
51,1,37,m,2,3,Part-time worker,14.855528846153845,102,N,0,1
52,0,36,m,1,3,Full-time worker,14.855528846153845,103,M,1,0
52,1,37,m,2,3,Part-time worker,14.855528846153845,104,N,0,1
53,0,36,m,1,3,Full-time worker,14.855528846153845,105,M,1,0
53,1,37,m,2,3,Part-time worker,14.855528846153845,106,N,0,1
54,0,36,m,1,3,Full-time worker,14.855528846153845,107,M,1,0
54,1,37,m,2,3,Part-time worker,14.855528846153845,108,N,0,1
55,0,36,m,1,3,Full-time worker,14.855528846153845,109,M,1,0
55,1,37,m,2,3,Part-time worker,14.855528846153845,110,N,0,1
56,0,36,m,1,3,Full-time worker,29.52403846153846,111,M,1,0
56,1,37,m,2,3,Part-time worker,29.52403846153846,112,N,0,1
57,0,36,m,1,3,Full-time worker,29.52403846153846,113,M,1,0
57,1,37,m,2,3,Part-time worker,29.52403846153846,114,N,0,1
58,0,36,m,1,3,Full-time worker,29.52403846153846,115,M,1,0
58,1,37,m,2,3,Part-time worker,29.52403846153846,116,N,0,1
59,0,36,m,1,3,Full-time worker,29.52403846153846,117,M,1,0
59,1,37,m,2,3,Part-time worker,29.52403846153846,118,N,0,1
60,0,36,m,1,3,Full-time worker,29.52403846153846,119,M,1,0
60,1,37,m,2,3,Part-time worker,29.52403846153846,120,N,0,1
61,0,36,m,1,3,Full-time worker,3.095673076923077,121,M,1,0
61,1,37,m,2,3,Part-time worker,3.095673076923077,122,N,0,1
62,0,36,m,1,3,Full-time worker,3.095673076923077,123,M,1,0
62,1,37,m,2,3,Part-time worker,3.095673076923077,124,N,0,1
63,0,36,m,1,3,Full-time worker,3.095673076923077,125,M,1,0
63,1,37,m,2,3,Part-time worker,3.095673076923077,126,N,0,1
64,0,36,m,1,3,Full-time worker,3.095673076923077,127,M,1,0
64,1,37,m,2,3,Part-time worker,3.095673076923077,128,N,0,1
65,0,36,m,1,3,Full-time worker,3.095673076923077,129,M,1,0
65,1,37,m,2,3,Part-time worker,3.095673076923077,130,N,0,1
66,0,36,m,1,3,Full-time worker,8.48125,131,M,1,0
66,1,37,m,2,3,Part-time worker,8.48125,132,N,0,1
67,0,36,m,1,3,Full-time worker,8.48125,133,M,1,0
67,1,37,m,2,3,Part-time worker,8.48125,134,N,0,1
68,0,36,m,1,3,Full-time worker,8.48125,135,M,1,0
68,1,37,m,2,3,Part-time worker,8.48125,136,N,0,1
69,0,36,m,1,3,Full-time worker,8.48125,137,M,1,0
69,1,37,m,2,3,Part-time worker,8.48125,138,N,0,1
70,0,36,m,1,3,Full-time worker,8.48125,139,M,1,0
70,1,37,m,2,3,Part-time worker,8.48125,140,N,0,1
71,0,36,m,1,3,Full-time worker,14.855528846153845,141,M,1,0
71,1,37,m,2,3,Part-time worker,14.855528846153845,142,N,0,1
72,0,36,m,1,3,Full-time worker,14.855528846153845,143,M,1,0
72,1,37,m,2,3,Part-time worker,14.855528846153845,144,N,0,1
73,0,36,m,1,3,Full-time worker,14.855528846153845,145,M,1,0
73,1,37,m,2,3,Part-time worker,14.855528846153845,146,N,0,1
74,0,36,m,1,3,Full-time worker,14.855528846153845,147,M,1,0
74,1,37,m,2,3,Part-time worker,14.855528846153845,148,N,0,1
75,0,36,m,1,3,Full-time worker,14.855528846153845,149,M,1,0
75,1,37,m,2,3,Part-time worker,14.855528846153845,150,N,0,1
76,0,36,m,1,3,Full-time worker,29.52403846153846,151,M,1,0
76,1,37,m,2,3,Part-time worker,29.52403846153846,152,N,0,1
77,0,36,m,1,3,Full-time worker,29.52403846153846,153,M,1,0
77,1,37,m,2,3,Part-time worker,29.52403846153846,154,N,0,1
78,0,36,m,1,3,Full-time worker,29.52403846153846,155,M,1,0
78,1,37,m,2,3,Part-time worker,29.52403846153846,156,N,0,1
79,0,36,m,1,3,Full-time worker,29.52403846153846,157,M,1,0
79,1,37,m,2,3,Part-time worker,29.52403846153846,158,N,0,1
80,0,36,m,1,3,Full-time worker,29.52403846153846,159,M,1,0
80,1,37,m,2,3,Part-time worker,29.52403846153846,160,N,0,1
81,0,36,m,1,3,Full-time worker,3.095673076923077,161,M,1,0
81,1,37,m,2,3,Part-time worker,3.095673076923077,162,N,0,1
82,0,36,m,1,3,Full-time worker,3.095673076923077,163,M,1,0
82,1,37,m,2,3,Part-time worker,3.095673076923077,164,N,0,1
83,0,36,m,1,3,Full-time worker,3.095673076923077,165,M,1,0
83,1,37,m,2,3,Part-time worker,3.095673076923077,166,N,0,1
84,0,36,m,1,3,Full-time worker,3.095673076923077,167,M,1,0
84,1,37,m,2,3,Part-time worker,3.095673076923077,168,N,0,1
85,0,36,m,1,3,Full-time worker,3.095673076923077,169,M,1,0
85,1,37,m,2,3,Part-time worker,3.095673076923077,170,N,0,1
86,0,36,m,1,3,Full-time worker,8.48125,171,M,1,0
86,1,37,m,2,3,Part-time worker,8.48125,172,N,0,1
87,0,36,m,1,3,Full-time worker,8.48125,173,M,1,0
87,1,37,m,2,3,Part-time worker,8.48125,174,N,0,1
88,0,36,m,1,3,Full-time worker,8.48125,175,M,1,0
88,1,37,m,2,3,Part-time worker,8.48125,176,N,0,1
89,0,36,m,1,3,Full-time worker,8.48125,177,M,1,0
89,1,37,m,2,3,Part-time worker,8.48125,178,N,0,1
90,0,36,m,1,3,Full-time worker,8.48125,179,M,1,0
90,1,37,m,2,3,Part-time worker,8.48125,180,N,0,1
91,0,36,m,1,3,Full-time worker,14.855528846153845,181,M,1,0
91,1,37,m,2,3,Part-time worker,14.855528846153845,182,N,0,1
92,0,36,m,1,3,Full-time worker,14.855528846153845,183,M,1,0
92,1,37,m,2,3,Part-time worker,14.855528846153845,184,N,0,1
93,0,36,m,1,3,Full-time worker,14.855528846153845,185,M,1,0
93,1,37,m,2,3,Part-time worker,14.855528846153845,186,N,0,1
94,0,36,m,1,3,Full-time worker,14.855528846153845,187,M,1,0
94,1,37,m,2,3,Part-time worker,14.855528846153845,188,N,0,1
95,0,36,m,1,3,Full-time worker,14.855528846153845,189,M,1,0
95,1,37,m,2,3,Part-time worker,14.855528846153845,190,N,0,1
96,0,36,m,1,3,Full-time worker,29.52403846153846,191,M,1,0
96,1,37,m,2,3,Part-time worker,29.52403846153846,192,N,0,1
97,0,36,m,1,3,Full-time worker,29.52403846153846,193,M,1,0
97,1,37,m,2,3,Part-time worker,29.52403846153846,194,N,0,1
98,0,36,m,1,3,Full-time worker,29.52403846153846,195,M,1,0
98,1,37,m,2,3,Part-time worker,29.52403846153846,196,N,0,1
99,0,36,m,1,3,Full-time worker,29.52403846153846,197,M,1,0
99,1,37,m,2,3,Part-time worker,29.52403846153846,198,N,0,1
100,0,36,m,1,3,Full-time worker,29.52403846153846,199,M,1,0
100,1,37,m,2,3,Part-time worker,29.52403846153846,200,N,0,1
101,0,36,m,1,3,Full-time worker,3.095673076923077,201,M,1,0
101,1,37,m,2,3,Part-time worker,3.095673076923077,202,N,0,1
102,0,36,m,1,3,Full-time worker,3.095673076923077,203,M,1,0
102,1,37,m,2,3,Part-time worker,3.095673076923077,204,N,0,1
103,0,36,m,1,3,Full-time worker,3.095673076923077,205,M,1,0
103,1,37,m,2,3,Part-time worker,3.095673076923077,206,N,0,1
104,0,36,m,1,3,Full-time worker,3.095673076923077,207,M,1,0
104,1,37,m,2,3,Part-time worker,3.095673076923077,208,N,0,1
105,0,36,m,1,3,Full-time worker,3.095673076923077,209,M,1,0
105,1,37,m,2,3,Part-time worker,3.095673076923077,210,N,0,1
106,0,36,m,1,3,Full-time worker,8.48125,211,M,1,0
106,1,37,m,2,3,Part-time worker,8.48125,212,N,0,1
107,0,36,m,1,3,Full-time worker,8.48125,213,M,1,0
107,1,37,m,2,3,Part-time worker,8.48125,214,N,0,1
108,0,36,m,1,3,Full-time worker,8.48125,215,M,1,0
108,1,37,m,2,3,Part-time worker,8.48125,216,N,0,1
109,0,36,m,1,3,Full-time worker,8.48125,217,M,1,0
109,1,37,m,2,3,Part-time worker,8.48125,218,N,0,1
110,0,36,m,1,3,Full-time worker,8.48125,219,M,1,0
110,1,37,m,2,3,Part-time worker,8.48125,220,N,0,1
111,0,36,m,1,3,Full-time worker,14.855528846153845,221,M,1,0
111,1,37,m,2,3,Part-time worker,14.855528846153845,222,N,0,1
112,0,36,m,1,3,Full-time worker,14.855528846153845,223,M,1,0
112,1,37,m,2,3,Part-time worker,14.855528846153845,224,N,0,1
113,0,36,m,1,3,Full-time worker,14.855528846153845,225,M,1,0
113,1,37,m,2,3,Part-time worker,14.855528846153845,226,N,0,1
114,0,36,m,1,3,Full-time worker,14.855528846153845,227,M,1,0
114,1,37,m,2,3,Part-time worker,14.855528846153845,228,N,0,1
115,0,36,m,1,3,Full-time worker,14.855528846153845,229,M,1,0
115,1,37,m,2,3,Part-time worker,14.855528846153845,230,N,0,1
116,0,36,m,1,3,Full-time worker,29.52403846153846,231,M,1,0
116,1,37,m,2,3,Part-time worker,29.52403846153846,232,N,0,1
117,0,36,m,1,3,Full-time worker,29.52403846153846,233,M,1,0
117,1,37,m,2,3,Part-time worker,29.52403846153846,234,N,0,1
118,0,36,m,1,3,Full-time worker,29.52403846153846,235,M,1,0
118,1,37,m,2,3,Part-time worker,29.52403846153846,236,N,0,1
119,0,36,m,1,3,Full-time worker,29.52403846153846,237,M,1,0
119,1,37,m,2,3,Part-time worker,29.52403846153846,238,N,0,1
120,0,36,m,1,3,Full-time worker,29.52403846153846,239,M,1,0
120,1,37,m,2,3,Part-time worker,29.52403846153846,240,N,0,1
121,0,36,m,1,3,Full-time worker,3.095673076923077,241,M,1,0
121,1,37,m,2,3,Part-time worker,3.095673076923077,242,N,0,1
122,0,36,m,1,3,Full-time worker,3.095673076923077,243,M,1,0
122,1,37,m,2,3,Part-time worker,3.095673076923077,244,N,0,1
123,0,36,m,1,3,Full-time worker,3.095673076923077,245,M,1,0
123,1,37,m,2,3,Part-time worker,3.095673076923077,246,N,0,1
124,0,36,m,1,3,Full-time worker,3.095673076923077,247,M,1,0
124,1,37,m,2,3,Part-time worker,3.095673076923077,248,N,0,1
125,0,36,m,1,3,Full-time worker,3.095673076923077,249,M,1,0
125,1,37,m,2,3,Part-time worker,3.095673076923077,250,N,0,1
126,0,36,m,1,3,Full-time worker,8.48125,251,M,1,0
126,1,37,m,2,3,Part-time worker,8.48125,252,N,0,1
127,0,36,m,1,3,Full-time worker,8.48125,253,M,1,0
127,1,37,m,2,3,Part-time worker,8.48125,254,N,0,1
128,0,36,m,1,3,Full-time worker,8.48125,255,M,1,0
128,1,37,m,2,3,Part-time worker,8.48125,256,N,0,1
129,0,36,m,1,3,Full-time worker,8.48125,257,M,1,0
129,1,37,m,2,3,Part-time worker,8.48125,258,N,0,1
130,0,36,m,1,3,Full-time worker,8.48125,259,M,1,0
130,1,37,m,2,3,Part-time worker,8.48125,260,N,0,1
131,0,36,m,1,3,Full-time worker,14.855528846153845,261,M,1,0
131,1,37,m,2,3,Part-time worker,14.855528846153845,262,N,0,1
132,0,36,m,1,3,Full-time worker,14.855528846153845,263,M,1,0
132,1,37,m,2,3,Part-time worker,14.855528846153845,264,N,0,1
133,0,36,m,1,3,Full-time worker,14.855528846153845,265,M,1,0
133,1,37,m,2,3,Part-time worker,14.855528846153845,266,N,0,1
134,0,36,m,1,3,Full-time worker,14.855528846153845,267,M,1,0
134,1,37,m,2,3,Part-time worker,14.855528846153845,268,N,0,1
135,0,36,m,1,3,Full-time worker,14.855528846153845,269,M,1,0
135,1,37,m,2,3,Part-time worker,14.855528846153845,270,N,0,1
136,0,36,m,1,3,Full-time worker,29.52403846153846,271,M,1,0
136,1,37,m,2,3,Part-time worker,29.52403846153846,272,N,0,1
137,0,36,m,1,3,Full-time worker,29.52403846153846,273,M,1,0
137,1,37,m,2,3,Part-time worker,29.52403846153846,274,N,0,1
138,0,36,m,1,3,Full-time worker,29.52403846153846,275,M,1,0
138,1,37,m,2,3,Part-time worker,29.52403846153846,276,N,0,1
139,0,36,m,1,3,Full-time worker,29.52403846153846,277,M,1,0
139,1,37,m,2,3,Part-time worker,29.52403846153846,278,N,0,1
140,0,36,m,1,3,Full-time worker,29.52403846153846,279,M,1,0
140,1,37,m,2,3,Part-time worker,29.52403846153846,280,N,0,1
141,0,36,m,1,3,Full-time worker,3.095673076923077,281,M,1,0
141,1,37,m,2,3,Part-time worker,3.095673076923077,282,N,0,1
142,0,36,m,1,3,Full-time worker,3.095673076923077,283,M,1,0
142,1,37,m,2,3,Part-time worker,3.095673076923077,284,N,0,1
143,0,36,m,1,3,Full-time worker,3.095673076923077,285,M,1,0
143,1,37,m,2,3,Part-time worker,3.095673076923077,286,N,0,1
144,0,36,m,1,3,Full-time worker,3.095673076923077,287,M,1,0
144,1,37,m,2,3,Part-time worker,3.095673076923077,288,N,0,1
145,0,36,m,1,3,Full-time worker,3.095673076923077,289,M,1,0
145,1,37,m,2,3,Part-time worker,3.095673076923077,290,N,0,1
146,0,36,m,1,3,Full-time worker,8.48125,291,M,1,0
146,1,37,m,2,3,Part-time worker,8.48125,292,N,0,1
147,0,36,m,1,3,Full-time worker,8.48125,293,M,1,0
147,1,37,m,2,3,Part-time worker,8.48125,294,N,0,1
148,0,36,m,1,3,Full-time worker,8.48125,295,M,1,0
148,1,37,m,2,3,Part-time worker,8.48125,296,N,0,1
149,0,36,m,1,3,Full-time worker,8.48125,297,M,1,0
149,1,37,m,2,3,Part-time worker,8.48125,298,N,0,1
150,0,36,m,1,3,Full-time worker,8.48125,299,M,1,0
150,1,37,m,2,3,Part-time worker,8.48125,300,N,0,1
151,0,36,m,1,3,Full-time worker,14.855528846153845,301,M,1,0
151,1,37,m,2,3,Part-time worker,14.855528846153845,302,N,0,1
152,0,36,m,1,3,Full-time worker,14.855528846153845,303,M,1,0
152,1,37,m,2,3,Part-time worker,14.855528846153845,304,N,0,1
153,0,36,m,1,3,Full-time worker,14.855528846153845,305,M,1,0
153,1,37,m,2,3,Part-time worker,14.855528846153845,306,N,0,1
154,0,36,m,1,3,Full-time worker,14.855528846153845,307,M,1,0
154,1,37,m,2,3,Part-time worker,14.855528846153845,308,N,0,1
155,0,36,m,1,3,Full-time worker,14.855528846153845,309,M,1,0
155,1,37,m,2,3,Part-time worker,14.855528846153845,310,N,0,1
156,0,36,m,1,3,Full-time worker,29.52403846153846,311,M,1,0
156,1,37,m,2,3,Part-time worker,29.52403846153846,312,N,0,1
157,0,36,m,1,3,Full-time worker,29.52403846153846,313,M,1,0
157,1,37,m,2,3,Part-time worker,29.52403846153846,314,N,0,1
158,0,36,m,1,3,Full-time worker,29.52403846153846,315,M,1,0
158,1,37,m,2,3,Part-time worker,29.52403846153846,316,N,0,1
159,0,36,m,1,3,Full-time worker,29.52403846153846,317,M,1,0
159,1,37,m,2,3,Part-time worker,29.52403846153846,318,N,0,1
160,0,36,m,1,3,Full-time worker,29.52403846153846,319,M,1,0
160,1,37,m,2,3,Part-time worker,29.52403846153846,320,N,0,1
161,0,36,m,1,3,Full-time worker,3.095673076923077,321,M,1,0
161,1,37,m,2,3,Part-time worker,3.095673076923077,322,N,0,1
162,0,36,m,1,3,Full-time worker,3.095673076923077,323,M,1,0
162,1,37,m,2,3,Part-time worker,3.095673076923077,324,N,0,1
163,0,36,m,1,3,Full-time worker,3.095673076923077,325,M,1,0
163,1,37,m,2,3,Part-time worker,3.095673076923077,326,N,0,1
164,0,36,m,1,3,Full-time worker,3.095673076923077,327,M,1,0
164,1,37,m,2,3,Part-time worker,3.095673076923077,328,N,0,1
165,0,36,m,1,3,Full-time worker,3.095673076923077,329,M,1,0
165,1,37,m,2,3,Part-time worker,3.095673076923077,330,N,0,1
166,0,36,m,1,3,Full-time worker,8.48125,331,M,1,0
166,1,37,m,2,3,Part-time worker,8.48125,332,N,0,1
167,0,36,m,1,3,Full-time worker,8.48125,333,M,1,0
167,1,37,m,2,3,Part-time worker,8.48125,334,N,0,1
168,0,36,m,1,3,Full-time worker,8.48125,335,M,1,0
168,1,37,m,2,3,Part-time worker,8.48125,336,N,0,1
169,0,36,m,1,3,Full-time worker,8.48125,337,M,1,0
169,1,37,m,2,3,Part-time worker,8.48125,338,N,0,1
170,0,36,m,1,3,Full-time worker,8.48125,339,M,1,0
170,1,37,m,2,3,Part-time worker,8.48125,340,N,0,1
171,0,36,m,1,3,Full-time worker,14.855528846153845,341,M,1,0
171,1,37,m,2,3,Part-time worker,14.855528846153845,342,N,0,1
172,0,36,m,1,3,Full-time worker,14.855528846153845,343,M,1,0
172,1,37,m,2,3,Part-time worker,14.855528846153845,344,N,0,1
173,0,36,m,1,3,Full-time worker,14.855528846153845,345,M,1,0
173,1,37,m,2,3,Part-time worker,14.855528846153845,346,N,0,1
174,0,36,m,1,3,Full-time worker,14.855528846153845,347,M,1,0
174,1,37,m,2,3,Part-time worker,14.855528846153845,348,N,0,1
175,0,36,m,1,3,Full-time worker,14.855528846153845,349,M,1,0
175,1,37,m,2,3,Part-time worker,14.855528846153845,350,N,0,1
176,0,36,m,1,3,Full-time worker,29.52403846153846,351,M,1,0
176,1,37,m,2,3,Part-time worker,29.52403846153846,352,N,0,1
177,0,36,m,1,3,Full-time worker,29.52403846153846,353,M,1,0
177,1,37,m,2,3,Part-time worker,29.52403846153846,354,N,0,1
178,0,36,m,1,3,Full-time worker,29.52403846153846,355,M,1,0
178,1,37,m,2,3,Part-time worker,29.52403846153846,356,N,0,1
179,0,36,m,1,3,Full-time worker,29.52403846153846,357,M,1,0
179,1,37,m,2,3,Part-time worker,29.52403846153846,358,N,0,1
180,0,36,m,1,3,Full-time worker,29.52403846153846,359,M,1,0
180,1,37,m,2,3,Part-time worker,29.52403846153846,360,N,0,1
181,0,36,m,1,3,Full-time worker,3.095673076923077,361,M,1,0
181,1,37,m,2,3,Part-time worker,3.095673076923077,362,N,0,1
182,0,36,m,1,3,Full-time worker,3.095673076923077,363,M,1,0
182,1,37,m,2,3,Part-time worker,3.095673076923077,364,N,0,1
183,0,36,m,1,3,Full-time worker,3.095673076923077,365,M,1,0
183,1,37,m,2,3,Part-time worker,3.095673076923077,366,N,0,1
184,0,36,m,1,3,Full-time worker,3.095673076923077,367,M,1,0
184,1,37,m,2,3,Part-time worker,3.095673076923077,368,N,0,1
185,0,36,m,1,3,Full-time worker,3.095673076923077,369,M,1,0
185,1,37,m,2,3,Part-time worker,3.095673076923077,370,N,0,1
186,0,36,m,1,3,Full-time worker,8.48125,371,M,1,0
186,1,37,m,2,3,Part-time worker,8.48125,372,N,0,1
187,0,36,m,1,3,Full-time worker,8.48125,373,M,1,0
187,1,37,m,2,3,Part-time worker,8.48125,374,N,0,1
188,0,36,m,1,3,Full-time worker,8.48125,375,M,1,0
188,1,37,m,2,3,Part-time worker,8.48125,376,N,0,1
189,0,36,m,1,3,Full-time worker,8.48125,377,M,1,0
189,1,37,m,2,3,Part-time worker,8.48125,378,N,0,1
190,0,36,m,1,3,Full-time worker,8.48125,379,M,1,0
190,1,37,m,2,3,Part-time worker,8.48125,380,N,0,1
191,0,36,m,1,3,Full-time worker,14.855528846153845,381,M,1,0
191,1,37,m,2,3,Part-time worker,14.855528846153845,382,N,0,1
192,0,36,m,1,3,Full-time worker,14.855528846153845,383,M,1,0
192,1,37,m,2,3,Part-time worker,14.855528846153845,384,N,0,1
193,0,36,m,1,3,Full-time worker,14.855528846153845,385,M,1,0
193,1,37,m,2,3,Part-time worker,14.855528846153845,386,N,0,1
194,0,36,m,1,3,Full-time worker,14.855528846153845,387,M,1,0
194,1,37,m,2,3,Part-time worker,14.855528846153845,388,N,0,1
195,0,36,m,1,3,Full-time worker,14.855528846153845,389,M,1,0
195,1,37,m,2,3,Part-time worker,14.855528846153845,390,N,0,1
196,0,36,m,1,3,Full-time worker,29.52403846153846,391,M,1,0
196,1,37,m,2,3,Part-time worker,29.52403846153846,392,N,0,1
197,0,36,m,1,3,Full-time worker,29.52403846153846,393,M,1,0
197,1,37,m,2,3,Part-time worker,29.52403846153846,394,N,0,1
198,0,36,m,1,3,Full-time worker,29.52403846153846,395,M,1,0
198,1,37,m,2,3,Part-time worker,29.52403846153846,396,N,0,1
199,0,36,m,1,3,Full-time worker,29.52403846153846,397,M,1,0
199,1,37,m,2,3,Part-time worker,29.52403846153846,398,N,0,1
200,0,36,m,1,3,Full-time worker,29.52403846153846,399,M,1,0
200,1,37,m,2,3,Part-time worker,29.52403846153846,400,N,0,1
201,0,36,m,1,3,Full-time worker,3.095673076923077,401,M,1,0
201,1,37,m,2,3,Part-time worker,3.095673076923077,402,N,0,1
202,0,36,m,1,3,Full-time worker,3.095673076923077,403,M,1,0
202,1,37,m,2,3,Part-time worker,3.095673076923077,404,N,0,1
203,0,36,m,1,3,Full-time worker,3.095673076923077,405,M,1,0
