HHID,person_num,AGE,SEX,pemploy,pstudent,ptype,value_of_time,PERID
79,1,37,1,2,3,2,29.52403846153846,158
80,0,36,1,1,3,1,29.52403846153846,159
80,1,37,1,2,3,2,29.52403846153846,160
81,0,36,1,1,3,1,3.095673076923077,161
81,1,37,1,2,3,2,3.095673076923077,162
82,0,36,1,1,3,1,3.095673076923077,163
82,1,37,1,2,3,2,3.095673076923077,164
83,0,36,1,1,3,1,3.095673076923077,165
83,1,37,1,2,3,2,3.095673076923077,166
84,0,36,1,1,3,1,3.095673076923077,167
84,1,37,1,2,3,2,3.095673076923077,168
85,0,36,1,1,3,1,3.095673076923077,169
85,1,37,1,2,3,2,3.095673076923077,170
86,0,36,1,1,3,1,8.48125,171
86,1,37,1,2,3,2,8.48125,172
87,0,36,1,1,3,1,8.48125,173
87,1,37,1,2,3,2,8.48125,174
88,0,36,1,1,3,1,8.48125,175
88,1,37,1,2,3,2,8.48125,176
89,0,36,1,1,3,1,8.48125,177
89,1,37,1,2,3,2,8.48125,178
90,0,36,1,1,3,1,8.48125,179
90,1,37,1,2,3,2,8.48125,180
91,0,36,1,1,3,1,14.855528846153845,181
91,1,37,1,2,3,2,14.855528846153845,182
92,0,36,1,1,3,1,14.855528846153845,183
92,1,37,1,2,3,2,14.855528846153845,184
93,0,36,1,1,3,1,14.855528846153845,185
93,1,37,1,2,3,2,14.855528846153845,186
94,0,36,1,1,3,1,14.855528846153845,187
94,1,37,1,2,3,2,14.855528846153845,188
95,0,36,1,1,3,1,14.855528846153845,189
95,1,37,1,2,3,2,14.855528846153845,190
96,0,36,1,1,3,1,29.52403846153846,191
96,1,37,1,2,3,2,29.52403846153846,192
97,0,36,1,1,3,1,29.52403846153846,193
97,1,37,1,2,3,2,29.52403846153846,194
98,0,36,1,1,3,1,29.52403846153846,195
98,1,37,1,2,3,2,29.52403846153846,196
99,0,36,1,1,3,1,29.52403846153846,197
99,1,37,1,2,3,2,29.52403846153846,198
100,0,36,1,1,3,1,29.52403846153846,199
100,1,37,1,2,3,2,29.52403846153846,200
101,0,36,1,1,3,1,3.095673076923077,201
101,1,37,1,2,3,2,3.095673076923077,202
102,0,36,1,1,3,1,3.095673076923077,203
102,1,37,1,2,3,2,3.095673076923077,204
103,0,36,1,1,3,1,3.095673076923077,205
103,1,37,1,2,3,2,3.095673076923077,206
104,0,36,1,1,3,1,3.095673076923077,207
104,1,37,1,2,3,2,3.095673076923077,208
105,0,36,1,1,3,1,3.095673076923077,209
105,1,37,1,2,3,2,3.095673076923077,210
106,0,36,1,1,3,1,8.48125,211
106,1,37,1,2,3,2,8.48125,212
107,0,36,1,1,3,1,8.48125,213
107,1,37,1,2,3,2,8.48125,214
108,0,36,1,1,3,1,8.48125,215
108,1,37,1,2,3,2,8.48125,216
109,0,36,1,1,3,1,8.48125,217
109,1,37,1,2,3,2,8.48125,218
110,0,36,1,1,3,1,8.48125,219
110,1,37,1,2,3,2,8.48125,220
111,0,36,1,1,3,1,14.855528846153845,221
111,1,37,1,2,3,2,14.855528846153845,222
112,0,36,1,1,3,1,14.855528846153845,223
112,1,37,1,2,3,2,14.855528846153845,224
113,0,36,1,1,3,1,14.855528846153845,225
113,1,37,1,2,3,2,14.855528846153845,226
114,0,36,1,1,3,1,14.855528846153845,227
114,1,37,1,2,3,2,14.855528846153845,228
115,0,36,1,1,3,1,14.855528846153845,229
115,1,37,1,2,3,2,14.855528846153845,230
116,0,36,1,1,3,1,29.52403846153846,231
116,1,37,1,2,3,2,29.52403846153846,232
117,0,36,1,1,3,1,29.52403846153846,233
117,1,37,1,2,3,2,29.52403846153846,234
118,0,36,1,1,3,1,29.52403846153846,235
118,1,37,1,2,3,2,29.52403846153846,236
119,0,36,1,1,3,1,29.52403846153846,237
119,1,37,1,2,3,2,29.52403846153846,238
120,0,36,1,1,3,1,29.52403846153846,239
120,1,37,1,2,3,2,29.52403846153846,240
121,0,36,1,1,3,1,3.095673076923077,241
121,1,37,1,2,3,2,3.095673076923077,242
122,0,36,1,1,3,1,3.095673076923077,243
122,1,37,1,2,3,2,3.095673076923077,244
123,0,36,1,1,3,1,3.095673076923077,245
123,1,37,1,2,3,2,3.095673076923077,246
124,0,36,1,1,3,1,3.095673076923077,247
124,1,37,1,2,3,2,3.095673076923077,248
125,0,36,1,1,3,1,3.095673076923077,249
125,1,37,1,2,3,2,3.095673076923077,250
126,0,36,1,1,3,1,8.48125,251
126,1,37,1,2,3,2,8.48125,252
127,0,36,1,1,3,1,8.48125,253
127,1,37,1,2,3,2,8.48125,254
128,0,36,1,1,3,1,8.48125,255
128,1,37,1,2,3,2,8.48125,256
129,0,36,1,1,3,1,8.48125,257
129,1,37,1,2,3,2,8.48125,258
130,0,36,1,1,3,1,8.48125,259
130,1,37,1,2,3,2,8.48125,260
131,0,36,1,1,3,1,14.855528846153845,261
131,1,37,1,2,3,2,14.855528846153845,262
132,0,36,1,1,3,1,14.855528846153845,263
132,1,37,1,2,3,2,14.855528846153845,264
133,0,36,1,1,3,1,14.855528846153845,265
133,1,37,1,2,3,2,14.855528846153845,266
134,0,36,1,1,3,1,14.855528846153845,267
134,1,37,1,2,3,2,14.855528846153845,268
135,0,36,1,1,3,1,14.855528846153845,269
135,1,37,1,2,3,2,14.855528846153845,270
136,0,36,1,1,3,1,29.52403846153846,271
136,1,37,1,2,3,2,29.52403846153846,272
137,0,36,1,1,3,1,29.52403846153846,273
137,1,37,1,2,3,2,29.52403846153846,274
138,0,36,1,1,3,1,29.52403846153846,275
138,1,37,1,2,3,2,29.52403846153846,276
139,0,36,1,1,3,1,29.52403846153846,277
139,1,37,1,2,3,2,29.52403846153846,278
140,0,36,1,1,3,1,29.52403846153846,279
140,1,37,1,2,3,2,29.52403846153846,280
141,0,36,1,1,3,1,3.095673076923077,281
141,1,37,1,2,3,2,3.095673076923077,282
142,0,36,1,1,3,1,3.095673076923077,283
142,1,37,1,2,3,2,3.095673076923077,284
143,0,36,1,1,3,1,3.095673076923077,285
143,1,37,1,2,3,2,3.095673076923077,286
144,0,36,1,1,3,1,3.095673076923077,287
144,1,37,1,2,3,2,3.095673076923077,288
145,0,36,1,1,3,1,3.095673076923077,289
145,1,37,1,2,3,2,3.095673076923077,290
146,0,36,1,1,3,1,8.48125,291
146,1,37,1,2,3,2,8.48125,292
147,0,36,1,1,3,1,8.48125,293
147,1,37,1,2,3,2,8.48125,294
148,0,36,1,1,3,1,8.48125,295
148,1,37,1,2,3,2,8.48125,296
149,0,36,1,1,3,1,8.48125,297
149,1,37,1,2,3,2,8.48125,298
150,0,36,1,1,3,1,8.48125,299
150,1,37,1,2,3,2,8.48125,300
151,0,36,1,1,3,1,14.855528846153845,301
151,1,37,1,2,3,2,14.855528846153845,302
152,0,36,1,1,3,1,14.855528846153845,303
152,1,37,1,2,3,2,14.855528846153845,304
153,0,36,1,1,3,1,14.855528846153845,305
153,1,37,1,2,3,2,14.855528846153845,306
154,0,36,1,1,3,1,14.855528846153845,307
154,1,37,1,2,3,2,14.855528846153845,308
155,0,36,1,1,3,1,14.855528846153845,309
155,1,37,1,2,3,2,14.855528846153845,310
156,0,36,1,1,3,1,29.52403846153846,311
156,1,37,1,2,3,2,29.52403846153846,312
157,0,36,1,1,3,1,29.52403846153846,313
157,1,37,1,2,3,2,29.52403846153846,314
158,0,36,1,1,3,1,29.52403846153846,315
158,1,37,1,2,3,2,29.52403846153846,316
159,0,36,1,1,3,1,29.52403846153846,317
159,1,37,1,2,3,2,29.52403846153846,318
160,0,36,1,1,3,1,29.52403846153846,319
160,1,37,1,2,3,2,29.52403846153846,320
161,0,36,1,1,3,1,3.095673076923077,321
161,1,37,1,2,3,2,3.095673076923077,322
162,0,36,1,1,3,1,3.095673076923077,323
162,1,37,1,2,3,2,3.095673076923077,324
163,0,36,1,1,3,1,3.095673076923077,325
163,1,37,1,2,3,2,3.095673076923077,326
164,0,36,1,1,3,1,3.095673076923077,327
164,1,37,1,2,3,2,3.095673076923077,328
165,0,36,1,1,3,1,3.095673076923077,329
165,1,37,1,2,3,2,3.095673076923077,330
166,0,36,1,1,3,1,8.48125,331
166,1,37,1,2,3,2,8.48125,332
167,0,36,1,1,3,1,8.48125,333
167,1,37,1,2,3,2,8.48125,334
168,0,36,1,1,3,1,8.48125,335
168,1,37,1,2,3,2,8.48125,336
169,0,36,1,1,3,1,8.48125,337
169,1,37,1,2,3,2,8.48125,338
170,0,36,1,1,3,1,8.48125,339
170,1,37,1,2,3,2,8.48125,340
171,0,36,1,1,3,1,14.855528846153845,341
171,1,37,1,2,3,2,14.855528846153845,342
172,0,36,1,1,3,1,14.855528846153845,343
172,1,37,1,2,3,2,14.855528846153845,344
173,0,36,1,1,3,1,14.855528846153845,345
173,1,37,1,2,3,2,14.855528846153845,346
174,0,36,1,1,3,1,14.855528846153845,347
174,1,37,1,2,3,2,14.855528846153845,348
175,0,36,1,1,3,1,14.855528846153845,349
175,1,37,1,2,3,2,14.855528846153845,350
176,0,36,1,1,3,1,29.52403846153846,351
176,1,37,1,2,3,2,29.52403846153846,352
177,0,36,1,1,3,1,29.52403846153846,353
177,1,37,1,2,3,2,29.52403846153846,354
178,0,36,1,1,3,1,29.52403846153846,355
178,1,37,1,2,3,2,29.52403846153846,356
179,0,36,1,1,3,1,29.52403846153846,357
179,1,37,1,2,3,2,29.52403846153846,358
180,0,36,1,1,3,1,29.52403846153846,359
180,1,37,1,2,3,2,29.52403846153846,360
181,0,36,1,1,3,1,3.095673076923077,361
181,1,37,1,2,3,2,3.095673076923077,362
182,0,36,1,1,3,1,3.095673076923077,363
182,1,37,1,2,3,2,3.095673076923077,364
183,0,36,1,1,3,1,3.095673076923077,365
183,1,37,1,2,3,2,3.095673076923077,366
184,0,36,1,1,3,1,3.095673076923077,367
184,1,37,1,2,3,2,3.095673076923077,368
185,0,36,1,1,3,1,3.095673076923077,369
185,1,37,1,2,3,2,3.095673076923077,370
186,0,36,1,1,3,1,8.48125,371
186,1,37,1,2,3,2,8.48125,372
187,0,36,1,1,3,1,8.48125,373
187,1,37,1,2,3,2,8.48125,374
188,0,36,1,1,3,1,8.48125,375
188,1,37,1,2,3,2,8.48125,376
189,0,36,1,1,3,1,8.48125,377
189,1,37,1,2,3,2,8.48125,378
190,0,36,1,1,3,1,8.48125,379
190,1,37,1,2,3,2,8.48125,380
191,0,36,1,1,3,1,14.855528846153845,381
191,1,37,1,2,3,2,14.855528846153845,382
192,0,36,1,1,3,1,14.855528846153845,383
192,1,37,1,2,3,2,14.855528846153845,384
193,0,36,1,1,3,1,14.855528846153845,385
193,1,37,1,2,3,2,14.855528846153845,386
194,0,36,1,1,3,1,14.855528846153845,387
194,1,37,1,2,3,2,14.855528846153845,388
195,0,36,1,1,3,1,14.855528846153845,389
195,1,37,1,2,3,2,14.855528846153845,390
196,0,36,1,1,3,1,29.52403846153846,391
196,1,37,1,2,3,2,29.52403846153846,392
197,0,36,1,1,3,1,29.52403846153846,393
197,1,37,1,2,3,2,29.52403846153846,394
198,0,36,1,1,3,1,29.52403846153846,395
198,1,37,1,2,3,2,29.52403846153846,396
199,0,36,1,1,3,1,29.52403846153846,397
199,1,37,1,2,3,2,29.52403846153846,398
200,0,36,1,1,3,1,29.52403846153846,399
200,1,37,1,2,3,2,29.52403846153846,400
201,0,36,1,1,3,1,3.095673076923077,401
201,1,37,1,2,3,2,3.095673076923077,402
202,0,36,1,1,3,1,3.095673076923077,403
202,1,37,1,2,3,2,3.095673076923077,404
203,0,36,1,1,3,1,3.095673076923077,405
203,1,37,1,2,3,2,3.095673076923077,406
204,0,36,1,1,3,1,3.095673076923077,407
204,1,37,1,2,3,2,3.095673076923077,408
205,0,36,1,1,3,1,3.095673076923077,409
205,1,37,1,2,3,2,3.095673076923077,410
206,0,36,1,1,3,1,8.48125,411
206,1,37,1,2,3,2,8.48125,412
207,0,36,1,1,3,1,8.48125,413
207,1,37,1,2,3,2,8.48125,414
208,0,36,1,1,3,1,8.48125,415
208,1,37,1,2,3,2,8.48125,416
209,0,36,1,1,3,1,8.48125,417
209,1,37,1,2,3,2,8.48125,418
210,0,36,1,1,3,1,8.48125,419
210,1,37,1,2,3,2,8.48125,420
211,0,36,1,1,3,1,14.855528846153845,421
211,1,37,1,2,3,2,14.855528846153845,422
212,0,36,1,1,3,1,14.855528846153845,423
212,1,37,1,2,3,2,14.855528846153845,424
213,0,36,1,1,3,1,14.855528846153845,425
213,1,37,1,2,3,2,14.855528846153845,426
214,0,36,1,1,3,1,14.855528846153845,427
214,1,37,1,2,3,2,14.855528846153845,428
215,0,36,1,1,3,1,14.855528846153845,429
215,1,37,1,2,3,2,14.855528846153845,430
216,0,36,1,1,3,1,29.52403846153846,431
216,1,37,1,2,3,2,29.52403846153846,432
217,0,36,1,1,3,1,29.52403846153846,433
217,1,37,1,2,3,2,29.52403846153846,434
218,0,36,1,1,3,1,29.52403846153846,435
218,1,37,1,2,3,2,29.52403846153846,436
219,0,36,1,1,3,1,29.52403846153846,437
219,1,37,1,2,3,2,29.52403846153846,438
220,0,36,1,1,3,1,29.52403846153846,439
220,1,37,1,2,3,2,29.52403846153846,440
221,0,36,1,1,3,1,3.095673076923077,441
221,1,37,1,2,3,2,3.095673076923077,442
222,0,36,1,1,3,1,3.095673076923077,443
222,1,37,1,2,3,2,3.095673076923077,444
223,0,36,1,1,3,1,3.095673076923077,445
223,1,37,1,2,3,2,3.095673076923077,446
224,0,36,1,1,3,1,3.095673076923077,447
224,1,37,1,2,3,2,3.095673076923077,448
225,0,36,1,1,3,1,3.095673076923077,449
225,1,37,1,2,3,2,3.095673076923077,450
226,0,36,1,1,3,1,8.48125,451
226,1,37,1,2,3,2,8.48125,452
227,0,36,1,1,3,1,8.48125,453
227,1,37,1,2,3,2,8.48125,454
228,0,36,1,1,3,1,8.48125,455
228,1,37,1,2,3,2,8.48125,456
229,0,36,1,1,3,1,8.48125,457
229,1,37,1,2,3,2,8.48125,458
230,0,36,1,1,3,1,8.48125,459
230,1,37,1,2,3,2,8.48125,460
231,0,36,1,1,3,1,14.855528846153845,461
231,1,37,1,2,3,2,14.855528846153845,462
232,0,36,1,1,3,1,14.855528846153845,463
232,1,37,1,2,3,2,14.855528846153845,464
233,0,36,1,1,3,1,14.855528846153845,465
233,1,37,1,2,3,2,14.855528846153845,466
234,0,36,1,1,3,1,14.855528846153845,467
234,1,37,1,2,3,2,14.855528846153845,468
235,0,36,1,1,3,1,14.855528846153845,469
235,1,37,1,2,3,2,14.855528846153845,470
236,0,36,1,1,3,1,29.52403846153846,471
236,1,37,1,2,3,2,29.52403846153846,472
237,0,36,1,1,3,1,29.52403846153846,473
237,1,37,1,2,3,2,29.52403846153846,474
238,0,36,1,1,3,1,29.52403846153846,475
238,1,37,1,2,3,2,29.52403846153846,476
239,0,36,1,1,3,1,29.52403846153846,477
239,1,37,1,2,3,2,29.52403846153846,478
240,0,36,1,1,3,1,29.52403846153846,479
240,1,37,1,2,3,2,29.52403846153846,480
241,0,36,1,1,3,1,3.095673076923077,481
241,1,37,1,2,3,2,3.095673076923077,482
242,0,36,1,1,3,1,3.095673076923077,483
242,1,37,1,2,3,2,3.095673076923077,484
243,0,36,1,1,3,1,3.095673076923077,485
243,1,37,1,2,3,2,3.095673076923077,486
244,0,36,1,1,3,1,3.095673076923077,487
244,1,37,1,2,3,2,3.095673076923077,488
245,0,36,1,1,3,1,3.095673076923077,489
245,1,37,1,2,3,2,3.095673076923077,490
246,0,36,1,1,3,1,8.48125,491
246,1,37,1,2,3,2,8.48125,492
247,0,36,1,1,3,1,8.48125,493
247,1,37,1,2,3,2,8.48125,494
248,0,36,1,1,3,1,8.48125,495
248,1,37,1,2,3,2,8.48125,496
249,0,36,1,1,3,1,8.48125,497
249,1,37,1,2,3,2,8.48125,498
250,0,36,1,1,3,1,8.48125,499
250,1,37,1,2,3,2,8.48125,500
251,0,36,1,1,3,1,14.855528846153845,501
251,1,37,1,2,3,2,14.855528846153845,502
252,0,36,1,1,3,1,14.855528846153845,503
252,1,37,1,2,3,2,14.855528846153845,504
253,0,36,1,1,3,1,14.855528846153845,505
253,1,37,1,2,3,2,14.855528846153845,506
254,0,36,1,1,3,1,14.855528846153845,507
254,1,37,1,2,3,2,14.855528846153845,508
255,0,36,1,1,3,1,14.855528846153845,509
255,1,37,1,2,3,2,14.855528846153845,510
256,0,36,1,1,3,1,29.52403846153846,511
256,1,37,1,2,3,2,29.52403846153846,512
257,0,36,1,1,3,1,29.52403846153846,513
257,1,37,1,2,3,2,29.52403846153846,514
258,0,36,1,1,3,1,29.52403846153846,515
258,1,37,1,2,3,2,29.52403846153846,516
259,0,36,1,1,3,1,29.52403846153846,517
259,1,37,1,2,3,2,29.52403846153846,518
260,0,36,1,1,3,1,29.52403846153846,519
260,1,37,1,2,3,2,29.52403846153846,520
261,0,36,1,1,3,1,3.095673076923077,521
261,1,37,1,2,3,2,3.095673076923077,522
262,0,36,1,1,3,1,3.095673076923077,523
262,1,37,1,2,3,2,3.095673076923077,524
263,0,36,1,1,3,1,3.095673076923077,525
263,1,37,1,2,3,2,3.095673076923077,526
264,0,36,1,1,3,1,3.095673076923077,527
264,1,37,1,2,3,2,3.095673076923077,528
265,0,36,1,1,3,1,3.095673076923077,529
265,1,37,1,2,3,2,3.095673076923077,530
266,0,36,1,1,3,1,8.48125,531
266,1,37,1,2,3,2,8.48125,532
267,0,36,1,1,3,1,8.48125,533
267,1,37,1,2,3,2,8.48125,534
268,0,36,1,1,3,1,8.48125,535
268,1,37,1,2,3,2,8.48125,536
269,0,36,1,1,3,1,8.48125,537
269,1,37,1,2,3,2,8.48125,538
270,0,36,1,1,3,1,8.48125,539
270,1,37,1,2,3,2,8.48125,540
271,0,36,1,1,3,1,14.855528846153845,541
271,1,37,1,2,3,2,14.855528846153845,542
272,0,36,1,1,3,1,14.855528846153845,543
272,1,37,1,2,3,2,14.855528846153845,544
273,0,36,1,1,3,1,14.855528846153845,545
273,1,37,1,2,3,2,14.855528846153845,546
274,0,36,1,1,3,1,14.855528846153845,547
274,1,37,1,2,3,2,14.855528846153845,548
275,0,36,1,1,3,1,14.855528846153845,549
275,1,37,1,2,3,2,14.855528846153845,550
276,0,36,1,1,3,1,29.52403846153846,551
276,1,37,1,2,3,2,29.52403846153846,552
277,0,36,1,1,3,1,29.52403846153846,553
277,1,37,1,2,3,2,29.52403846153846,554
278,0,36,1,1,3,1,29.52403846153846,555
278,1,37,1,2,3,2,29.52403846153846,556
279,0,36,1,1,3,1,29.52403846153846,557
279,1,37,1,2,3,2,29.52403846153846,558
280,0,36,1,1,3,1,29.52403846153846,559
280,1,37,1,2,3,2,29.52403846153846,560
281,0,36,1,1,3,1,3.095673076923077,561
281,1,37,1,2,3,2,3.095673076923077,562
282,0,36,1,1,3,1,3.095673076923077,563
282,1,37,1,2,3,2,3.095673076923077,564
283,0,36,1,1,3,1,3.095673076923077,565
283,1,37,1,2,3,2,3.095673076923077,566
284,0,36,1,1,3,1,3.095673076923077,567
284,1,37,1,2,3,2,3.095673076923077,568
285,0,36,1,1,3,1,3.095673076923077,569
285,1,37,1,2,3,2,3.095673076923077,570
286,0,36,1,1,3,1,8.48125,571
286,1,37,1,2,3,2,8.48125,572
287,0,36,1,1,3,1,8.48125,573
287,1,37,1,2,3,2,8.48125,574
288,0,36,1,1,3,1,8.48125,575
288,1,37,1,2,3,2,8.48125,576
289,0,36,1,1,3,1,8.48125,577
289,1,37,1,2,3,2,8.48125,578
290,0,36,1,1,3,1,8.48125,579
290,1,37,1,2,3,2,8.48125,580
291,0,36,1,1,3,1,14.855528846153845,581
291,1,37,1,2,3,2,14.855528846153845,582
292,0,36,1,1,3,1,14.855528846153845,583
292,1,37,1,2,3,2,14.855528846153845,584
293,0,36,1,1,3,1,14.855528846153845,585
293,1,37,1,2,3,2,14.855528846153845,586
294,0,36,1,1,3,1,14.855528846153845,587
294,1,37,1,2,3,2,14.855528846153845,588
295,0,36,1,1,3,1,14.855528846153845,589
295,1,37,1,2,3,2,14.855528846153845,590
296,0,36,1,1,3,1,29.52403846153846,591
296,1,37,1,2,3,2,29.52403846153846,592
297,0,36,1,1,3,1,29.52403846153846,593
297,1,37,1,2,3,2,29.52403846153846,594
298,0,36,1,1,3,1,29.52403846153846,595
298,1,37,1,2,3,2,29.52403846153846,596
299,0,36,1,1,3,1,29.52403846153846,597
299,1,37,1,2,3,2,29.52403846153846,598
